,DTM1,HOSP_TYPE,HOSP_SHORT,WFB,OCC,BASE,File_Name
205,2019-11-01 14:00:00,METRO,MH,0.0,29.0,36.0,Amb_Dashboard_2019.11.01_14.25
206,2019-11-01 14:00:00,METRO,NHS,1.0,48.0,51.0,Amb_Dashboard_2019.11.01_14.25
207,2019-11-01 14:00:00,METRO,TQEH,10.0,227.0,278.0,Amb_Dashboard_2019.11.01_14.25
208,2019-11-01 14:00:00,METRO,RAH,41.0,504.0,559.0,Amb_Dashboard_2019.11.01_14.25
209,2019-11-01 14:00:00,METRO,FMC,11.0,357.0,390.0,Amb_Dashboard_2019.11.01_14.25
210,2019-11-01 14:30:00,METRO,WCHP,4.0,76.0,92.0,Amb_Dashboard_2019.11.01_14.55
211,2019-11-01 14:30:00,METRO,LMH,6.0,228.0,194.0,Amb_Dashboard_2019.11.01_14.55
212,2019-11-01 14:30:00,METRO,MH,0.0,28.0,36.0,Amb_Dashboard_2019.11.01_14.55
213,2019-11-01 14:30:00,METRO,FMC,16.0,353.0,390.0,Amb_Dashboard_2019.11.01_14.55
214,2019-11-01 14:30:00,METRO,NHS,1.0,49.0,51.0,Amb_Dashboard_2019.11.01_14.55
215,2019-11-01 14:30:00,METRO,RAH,41.0,499.0,559.0,Amb_Dashboard_2019.11.01_14.55
216,2019-11-01 14:30:00,METRO,TQEH,8.0,226.0,278.0,Amb_Dashboard_2019.11.01_14.55
217,2019-11-01 15:00:00,METRO,TQEH,8.0,218.0,278.0,Amb_Dashboard_2019.11.01_15.25
218,2019-11-01 15:00:00,METRO,LMH,4.0,225.0,194.0,Amb_Dashboard_2019.11.01_15.25
219,2019-11-01 15:00:00,METRO,MH,0.0,29.0,36.0,Amb_Dashboard_2019.11.01_15.25
220,2019-11-01 15:00:00,METRO,FMC,17.0,345.0,390.0,Amb_Dashboard_2019.11.01_15.25
221,2019-11-01 15:00:00,METRO,NHS,1.0,49.0,51.0,Amb_Dashboard_2019.11.01_15.25
222,2019-11-01 15:00:00,METRO,WCHP,2.0,76.0,92.0,Amb_Dashboard_2019.11.01_15.25
223,2019-11-01 15:00:00,METRO,RAH,40.0,497.0,559.0,Amb_Dashboard_2019.11.01_15.25
224,2019-11-01 15:30:00,METRO,NHS,1.0,49.0,51.0,Amb_Dashboard_2019.11.01_15.55
225,2019-11-01 15:30:00,METRO,WCHP,2.0,72.0,92.0,Amb_Dashboard_2019.11.01_15.55
226,2019-11-01 15:30:00,METRO,TQEH,7.0,218.0,278.0,Amb_Dashboard_2019.11.01_15.55
227,2019-11-01 15:30:00,METRO,FMC,19.0,341.0,390.0,Amb_Dashboard_2019.11.01_15.55
228,2019-11-01 15:30:00,METRO,RAH,41.0,493.0,559.0,Amb_Dashboard_2019.11.01_15.55
229,2019-11-01 15:30:00,METRO,MH,0.0,27.0,36.0,Amb_Dashboard_2019.11.01_15.55
230,2019-11-01 15:30:00,METRO,LMH,4.0,226.0,194.0,Amb_Dashboard_2019.11.01_15.55
231,2019-11-01 16:00:00,METRO,MH,0.0,25.0,36.0,Amb_Dashboard_2019.11.01_16.25
232,2019-11-01 16:00:00,METRO,NHS,1.0,47.0,51.0,Amb_Dashboard_2019.11.01_16.25
233,2019-11-01 16:00:00,METRO,WCHP,4.0,72.0,92.0,Amb_Dashboard_2019.11.01_16.25
234,2019-11-01 16:00:00,METRO,TQEH,7.0,214.0,278.0,Amb_Dashboard_2019.11.01_16.25
235,2019-11-01 16:00:00,METRO,LMH,6.0,223.0,194.0,Amb_Dashboard_2019.11.01_16.25
236,2019-11-01 16:00:00,METRO,FMC,18.0,344.0,390.0,Amb_Dashboard_2019.11.01_16.25
237,2019-11-01 16:00:00,METRO,RAH,41.0,493.0,559.0,Amb_Dashboard_2019.11.01_16.25
238,2019-11-01 16:30:00,METRO,LMH,7.0,224.0,194.0,Amb_Dashboard_2019.11.01_16.45
239,2019-11-01 16:30:00,METRO,FMC,19.0,341.0,390.0,Amb_Dashboard_2019.11.01_16.45
240,2019-11-01 16:30:00,METRO,RAH,40.0,499.0,559.0,Amb_Dashboard_2019.11.01_16.45
241,2019-11-01 16:30:00,METRO,NHS,1.0,46.0,51.0,Amb_Dashboard_2019.11.01_16.45
242,2019-11-01 16:30:00,METRO,TQEH,7.0,213.0,278.0,Amb_Dashboard_2019.11.01_16.45
243,2019-11-01 16:30:00,METRO,WCHP,4.0,71.0,92.0,Amb_Dashboard_2019.11.01_16.45
